case_id,meter_id_hash,recommended_team,confidence_pct,inspection_outcome_simulated
ALT-V4-0081,MTR_000012_HASH,No field visit,2.0,synthetic_v4_feedback
ALT-V4-0082,MTR_000013_HASH,No field visit,2.0,synthetic_v4_feedback
ALT-V4-0083,MTR_000015_HASH,No field visit,2.0,synthetic_v4_feedback
ALT-V4-0084,MTR_000016_HASH,No field visit,2.0,synthetic_v4_feedback
ALT-V4-0085,MTR_000017_HASH,No field visit,2.0,synthetic_v4_feedback
ALT-V4-0086,MTR_000019_HASH,No field visit,2.0,synthetic_v4_feedback
ALT-V4-0087,MTR_000020_HASH,No field visit,2.0,synthetic_v4_feedback
ALT-V4-0088,MTR_000021_HASH,No field visit,2.0,synthetic_v4_feedback
ALT-V4-0089,MTR_000022_HASH,No field visit,2.0,synthetic_v4_feedback
ALT-V4-0090,MTR_000023_HASH,No field visit,2.0,synthetic_v4_feedback
ALT-V4-0091,MTR_000025_HASH,No field visit,2.0,synthetic_v4_feedback
