meter_id_hash,service_point_id_hash,locality,zone,feeder_id_hash,dt_id_hash,consumer_category,premise_subtype,tariff_category,first30_kwh,prev30_kwh,last30_kwh,drop_first_to_last_pct,drop_prev_to_last_pct,missing_pct,outage_pct,after_hours_ratio,avg_power_factor,min_power_factor,plateau_max_run_intervals,monthly_baseline_units,sanctioned_load_kw,gruha_jyothi_eligible,solar_capacity_kw,ev_flag,occupancy_pattern,peer_group,peer_rank_first30,peer_rank_last30,peer_rank_drop_points
MTR_000011_HASH,SP_000011_HASH,Peenya,North Circle,FDR_006_HASH,DT_0036_HASH,COMMERCIAL,CLINIC,LT3_COMMERCIAL,441.75861,0.0,0.0,100.0,0.0,0.0,0.138889,0.096144,0.909937,0.839442,2,457.72,8.0,0,0.0,0,FAMILY,Peenya|COMMERCIAL|CLINIC,100.0,100.0,0.0
MTR_000012_HASH,SP_000012_HASH,Electronic City,South Circle,FDR_007_HASH,DT_0067_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,LT2A_RESIDENTIAL,180.16103,0.0,0.0,100.0,0.0,0.0,0.0,0.370969,0.959957,0.892499,1,181.43,3.0,1,0.0,0,MIXED_USE,Electronic City|RESIDENTIAL|2BHK_SMALL_FAMILY,85.71428571428571,21.428571428571427,64.28571428571428
MTR_000013_HASH,SP_000013_HASH,Rajajinagar,West Circle,FDR_011_HASH,DT_0101_HASH,SMALL_INDUSTRY,MACHINE_SHOP,LT5_SMALL_INDUSTRY,1034.77905,0.0,0.0,100.0,0.0,0.0,0.104167,0.140038,0.859864,0.792616,2,1050.08,10.0,0,0.0,0,FAMILY,Rajajinagar|SMALL_INDUSTRY|MACHINE_SHOP,100.0,100.0,0.0
MTR_000014_HASH,SP_000014_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0079_HASH,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,LT2A_RESIDENTIAL,162.89621,115.02047,76.8,52.853413,33.229274,0.0,0.0,0.402273,0.959855,0.890491,2,9.0,1.0,0,0.0,0,VACANT,Koramangala|RESIDENTIAL|1BHK_SINGLE_OR_COUPLE,100.0,50.0,50.0
MTR_000015_HASH,SP_000015_HASH,Hebbal,North Circle,FDR_008_HASH,DT_0008_HASH,RESIDENTIAL,4BHK_VILLA_HIGH_LOAD,LT2A_RESIDENTIAL,397.85809,0.0,0.0,100.0,0.0,0.0,0.052083,0.33074,0.959851,0.879753,2,417.76,5.0,0,0.0,0,MIXED_USE,Hebbal|RESIDENTIAL|4BHK_VILLA_HIGH_LOAD,100.0,50.0,50.0
MTR_000016_HASH,SP_000016_HASH,Peenya,North Circle,FDR_006_HASH,DT_0021_HASH,SMALL_INDUSTRY,GARMENT_UNIT,LT5_SMALL_INDUSTRY,882.73364,0.0,0.0,100.0,0.0,0.0,0.034722,0.149541,0.860184,0.793004,2,891.34,10.0,0,0.0,0,FAMILY,Peenya|SMALL_INDUSTRY|GARMENT_UNIT,50.0,50.0,0.0
MTR_000017_HASH,SP_000017_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0072_HASH,RESIDENTIAL,4BHK_VILLA_HIGH_LOAD,LT2A_RESIDENTIAL,422.41718,117.25835,0.0,100.0,100.0,0.0,0.0,0.605736,0.959841,0.891579,2,508.84,6.0,1,2.0,0,FAMILY,KR Puram|RESIDENTIAL|4BHK_VILLA_HIGH_LOAD,100.0,100.0,0.0
MTR_000018_HASH,SP_000018_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0079_HASH,COMMERCIAL,SALON,LT3_COMMERCIAL,288.45853,254.94194,232.73639,19.317209,8.710042,0.0,0.0,0.142069,0.910135,0.840031,2,298.38,5.0,0,0.0,0,VACANT,Koramangala|COMMERCIAL|SALON,100.0,100.0,0.0
MTR_000019_HASH,SP_000019_HASH,Domlur,East Circle,FDR_002_HASH,DT_0032_HASH,PUBLIC_LIGHTING,STREET_LIGHTING_FEED,PUBLIC_LIGHTING,305.77966,78.92482,0.0,100.0,100.0,0.0,0.0,1.944176,0.860033,0.785467,3,304.97,2.0,0,0.0,0,FAMILY,Domlur|PUBLIC_LIGHTING|STREET_LIGHTING_FEED,100.0,100.0,0.0
MTR_000020_HASH,SP_000020_HASH,Domlur,East Circle,FDR_002_HASH,DT_0047_HASH,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,LT2A_RESIDENTIAL,30.55136,8.25912,0.0,100.0,100.0,0.0,0.0,0.464932,0.95992,0.884798,3,68.42,1.0,1,0.0,0,SENIOR_CITIZEN,Domlur|RESIDENTIAL|1BHK_SINGLE_OR_COUPLE,50.0,50.0,0.0
MTR_000021_HASH,SP_000021_HASH,Whitefield,East Circle,FDR_005_HASH,DT_0050_HASH,RESIDENTIAL,PG_OR_HOSTEL,LT2A_RESIDENTIAL,445.19934,122.39666,0.0,100.0,100.0,0.0,0.0,0.455728,0.959706,0.898389,2,453.71,5.0,0,0.0,0,FAMILY,Whitefield|RESIDENTIAL|PG_OR_HOSTEL,100.0,33.33333333333333,66.66666666666667
MTR_000022_HASH,SP_000022_HASH,Jayanagar,South Circle,FDR_015_HASH,DT_0105_HASH,COMMERCIAL,RESTAURANT_CAFE,LT3_COMMERCIAL,635.33868,0.0,0.0,100.0,0.0,0.0,0.0,0.22926,0.910137,0.841776,2,655.91,8.0,0,0.0,0,FAMILY,Jayanagar|COMMERCIAL|RESTAURANT_CAFE,100.0,100.0,0.0
MTR_000023_HASH,SP_000023_HASH,Domlur,East Circle,FDR_002_HASH,DT_0002_HASH,RESIDENTIAL,PG_OR_HOSTEL,LT2A_RESIDENTIAL,245.82845,0.0,0.0,100.0,0.0,0.0,0.0,0.463788,0.959916,0.888597,2,247.09,5.0,0,0.0,0,MIXED_USE,Domlur|RESIDENTIAL|PG_OR_HOSTEL,100.0,100.0,0.0
MTR_000024_HASH,SP_000024_HASH,Jayanagar,South Circle,FDR_015_HASH,DT_0075_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,LT2A_RESIDENTIAL,162.51627,97.06179,55.97916,65.554732,42.326261,0.0,0.0,0.636178,0.960125,0.892208,2,226.88,3.0,0,2.0,0,WORKING_COUPLE,Jayanagar|RESIDENTIAL|2BHK_SMALL_FAMILY,33.33333333333333,33.33333333333333,0.0
MTR_000025_HASH,SP_000025_HASH,Jayanagar,South Circle,FDR_003_HASH,DT_0048_HASH,RESIDENTIAL,3BHK_FAMILY,LT2A_RESIDENTIAL,6.45638,0.0,0.0,100.0,0.0,0.0,0.0,0.777087,0.95976,0.873661,3,67.7,5.0,1,2.0,0,VACANT,Jayanagar|RESIDENTIAL|3BHK_FAMILY,33.33333333333333,16.666666666666664,16.666666666666664
MTR_000026_HASH,SP_000026_HASH,Banashankari,South Circle,FDR_010_HASH,DT_0100_HASH,RESIDENTIAL,3BHK_FAMILY,LT2A_RESIDENTIAL,298.86755,317.57541,316.68909,-5.96302,0.27909,0.0,0.0,0.347038,0.959803,0.89607,2,309.73,5.0,1,0.0,0,FAMILY,Banashankari|RESIDENTIAL|3BHK_FAMILY,50.0,75.0,-25.0
MTR_000027_HASH,SP_000027_HASH,Domlur,East Circle,FDR_002_HASH,DT_0017_HASH,COMMERCIAL,BAKERY,LT3_COMMERCIAL,422.93896,273.30298,161.9064,61.718731,40.759371,0.0,0.0,0.393757,0.910403,0.827769,2,449.74,3.0,0,0.0,0,MIXED_USE,Domlur|COMMERCIAL|BAKERY,50.0,50.0,0.0
MTR_000028_HASH,SP_000028_HASH,Hebbal,North Circle,FDR_008_HASH,DT_0068_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,LT2A_RESIDENTIAL,228.90358,235.67621,234.29626,-2.355876,0.585525,0.0,0.052083,0.365222,0.960017,0.882579,2,232.8,3.0,0,0.0,0,WORKING_COUPLE,Hebbal|RESIDENTIAL|2BHK_SMALL_FAMILY,85.71428571428571,100.0,-14.285714285714292
MTR_000029_HASH,SP_000029_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0109_HASH,COMMERCIAL,SUPERMARKET_MINI_MART,LT3_COMMERCIAL,1182.95483,1210.09253,1253.33374,-5.949416,-3.573381,0.0,0.0,0.207698,0.910004,0.841086,2,1220.41,15.0,0,0.0,0,FAMILY,Koramangala|COMMERCIAL|SUPERMARKET_MINI_MART,50.0,50.0,0.0
MTR_000030_HASH,SP_000030_HASH,Domlur,East Circle,FDR_014_HASH,DT_0014_HASH,COMMERCIAL,SMALL_OFFICE,LT3_COMMERCIAL,596.53027,323.02692,172.2625,71.122589,46.672402,0.0,0.0,0.142328,0.909939,0.834343,36,587.56,8.0,0,0.0,0,SENIOR_CITIZEN,Domlur|COMMERCIAL|SMALL_OFFICE,83.33333333333334,33.33333333333333,50.000000000000014
MTR_000031_HASH,SP_000031_HASH,Rajajinagar,West Circle,FDR_011_HASH,DT_0116_HASH,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,LT2A_RESIDENTIAL,113.2925,115.1441,114.09946,-0.712288,0.907245,0.0,0.104167,0.465506,0.960147,0.886344,2,114.32,2.0,1,0.0,0,MIXED_USE,Rajajinagar|RESIDENTIAL|1BHK_SINGLE_OR_COUPLE,66.66666666666666,83.33333333333334,-16.666666666666686
MTR_000032_HASH,SP_000032_HASH,Rajajinagar,West Circle,FDR_011_HASH,DT_0116_HASH,SMALL_INDUSTRY,GARMENT_UNIT,LT5_SMALL_INDUSTRY,994.79468,977.27582,1008.66772,-1.394564,-3.212185,0.0,0.104167,0.150324,0.859818,0.791185,2,1001.85,10.0,0,0.0,0,SENIOR_CITIZEN,Rajajinagar|SMALL_INDUSTRY|GARMENT_UNIT,50.0,50.0,0.0
MTR_000033_HASH,SP_000033_HASH,Yelahanka,North Circle,FDR_009_HASH,DT_0054_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,LT2A_RESIDENTIAL,119.4111,120.49731,119.70238,-0.243926,0.659714,0.0,0.0,0.369787,0.95993,0.894126,2,119.85,3.0,1,0.0,0,MIXED_USE,Yelahanka|RESIDENTIAL|2BHK_SMALL_FAMILY,50.0,50.0,0.0
MTR_000034_HASH,SP_000034_HASH,Indiranagar,East Circle,FDR_013_HASH,DT_0088_HASH,RESIDENTIAL,3BHK_FAMILY,LT2A_RESIDENTIAL,346.24478,373.40381,373.7251,-7.936673,-0.086043,0.0,0.0,0.341862,0.95992,0.888562,2,362.5,3.0,1,0.0,0,FAMILY,Indiranagar|RESIDENTIAL|3BHK_FAMILY,85.71428571428571,85.71428571428571,0.0
MTR_000035_HASH,SP_000035_HASH,Rajajinagar,West Circle,FDR_011_HASH,DT_0116_HASH,RESIDENTIAL,4BHK_VILLA_HIGH_LOAD,LT2A_RESIDENTIAL,402.86707,448.85828,447.37927,-11.048857,0.329504,0.0,0.104167,0.318366,0.959784,0.891981,2,430.6,8.0,1,0.0,0,FAMILY,Rajajinagar|RESIDENTIAL|4BHK_VILLA_HIGH_LOAD,50.0,50.0,0.0
MTR_000036_HASH,SP_000036_HASH,Jayanagar,South Circle,FDR_003_HASH,DT_0063_HASH,PUBLIC_LIGHTING,STREET_LIGHTING_FEED,PUBLIC_LIGHTING,271.4624,270.97571,270.81482,0.238553,0.059374,0.0,0.069444,1.934155,0.859764,0.792673,3,271.04,3.0,0,0.0,0,FAMILY,Jayanagar|PUBLIC_LIGHTING|STREET_LIGHTING_FEED,100.0,100.0,0.0
MTR_000037_HASH,SP_000037_HASH,Domlur,East Circle,FDR_014_HASH,DT_0014_HASH,COMMERCIAL,SALON,LT3_COMMERCIAL,697.82471,734.26001,742.06958,-6.340399,-1.063597,0.0,0.0,0.104818,0.909845,0.841715,2,723.97,5.0,0,0.0,0,WORKING_COUPLE,Domlur|COMMERCIAL|SALON,100.0,100.0,0.0
MTR_000038_HASH,SP_000038_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0057_HASH,RESIDENTIAL,3BHK_FAMILY,LT2A_RESIDENTIAL,259.31842,268.13855,268.25293,-3.445382,-0.042657,0.0,0.0,0.352952,0.960007,0.889195,2,264.4,5.0,0,0.0,0,FAMILY,KR Puram|RESIDENTIAL|3BHK_FAMILY,28.57142857142857,42.857142857142854,-14.285714285714285
MTR_000039_HASH,SP_000039_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0027_HASH,COMMERCIAL,SMALL_OFFICE,LT3_COMMERCIAL,703.83777,760.39917,768.16113,-9.138948,-1.020775,0.0,0.0,0.119903,0.909936,0.847944,2,748.05,8.0,0,0.0,0,FAMILY,KR Puram|COMMERCIAL|SMALL_OFFICE,100.0,100.0,0.0
MTR_000040_HASH,SP_000040_HASH,Rajajinagar,West Circle,FDR_011_HASH,DT_0041_HASH,COMMERCIAL,RESTAURANT_CAFE,LT3_COMMERCIAL,1037.70154,1060.28589,1093.48584,-5.375756,-3.131226,0.0,0.104167,0.275039,0.910005,0.840277,2,1029.39,15.0,0,0.0,0,FAMILY,Rajajinagar|COMMERCIAL|RESTAURANT_CAFE,100.0,100.0,0.0
MTR_000041_HASH,SP_000041_HASH,Yelahanka,North Circle,FDR_009_HASH,DT_0114_HASH,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT,APARTMENT_COMMON,751.34906,753.33655,752.2699,-0.122558,0.14159,0.0,0.104167,0.462172,0.910083,0.849338,2,752.54,20.0,0,0.0,0,WORKING_COUPLE,Yelahanka|APARTMENT_COMMON_AREA|APARTMENT_COMMON_PUMP_LIFT,50.0,50.0,0.0
MTR_000042_HASH,SP_000042_HASH,Indiranagar,East Circle,FDR_013_HASH,DT_0028_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,LT2A_RESIDENTIAL,35.68916,36.23435,35.9605,-0.760296,0.755773,0.0,0.0,0.370617,0.959777,0.900128,2,79.88,2.0,1,0.0,0,WORKING_COUPLE,Indiranagar|RESIDENTIAL|2BHK_SMALL_FAMILY,50.0,66.66666666666666,-16.666666666666657
MTR_000043_HASH,SP_000043_HASH,Whitefield,East Circle,FDR_005_HASH,DT_0065_HASH,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,LT2A_RESIDENTIAL,7.98304,8.04572,8.00026,-0.215749,0.565018,0.0,0.0,0.465659,0.960002,0.896404,3,17.79,2.0,1,0.0,0,MIXED_USE,Whitefield|RESIDENTIAL|1BHK_SINGLE_OR_COUPLE,25.0,25.0,0.0
MTR_000044_HASH,SP_000044_HASH,Whitefield,East Circle,FDR_005_HASH,DT_0020_HASH,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT,APARTMENT_COMMON,2327.2915,2342.32324,2339.17261,-0.510512,0.134509,0.0,0.0,0.462114,0.910075,0.845988,1,2337.41,30.0,0,0.0,0,SENIOR_CITIZEN,Whitefield|APARTMENT_COMMON_AREA|APARTMENT_COMMON_PUMP_LIFT,100.0,100.0,0.0
MTR_000045_HASH,SP_000045_HASH,Hebbal,North Circle,FDR_008_HASH,DT_0038_HASH,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,LT2A_RESIDENTIAL,144.47069,146.65051,144.99304,-0.361564,1.130218,0.0,0.15625,0.466166,0.959516,0.890485,2,145.56,3.0,1,0.0,0,FAMILY,Hebbal|RESIDENTIAL|1BHK_SINGLE_OR_COUPLE,100.0,100.0,0.0
MTR_000046_HASH,SP_000046_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0042_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,LT2A_RESIDENTIAL,116.15772,104.43111,105.6,9.089128,-1.119295,0.0,0.0,0.402193,0.959987,0.883067,2,80.75,5.0,1,0.0,0,FAMILY,KR Puram|RESIDENTIAL|2BHK_SMALL_FAMILY,30.0,30.0,0.0
MTR_000047_HASH,SP_000047_HASH,Yelahanka,North Circle,FDR_009_HASH,DT_0069_HASH,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT,APARTMENT_COMMON,1204.28857,1208.08862,1203.61389,0.056023,0.370398,0.0,0.0,0.460912,0.909868,0.833111,2,1207.03,25.0,0,0.0,0,FAMILY,Yelahanka|APARTMENT_COMMON_AREA|APARTMENT_COMMON_PUMP_LIFT,100.0,100.0,0.0
MTR_000048_HASH,SP_000048_HASH,Jayanagar,South Circle,FDR_015_HASH,DT_0120_HASH,RESIDENTIAL,3BHK_FAMILY,LT2A_RESIDENTIAL,44.77526,46.42518,45.91117,-2.536914,1.107166,0.0,0.069444,0.74592,0.960151,0.889702,2,53.73,3.0,1,1.0,0,VACANT,Jayanagar|RESIDENTIAL|3BHK_FAMILY,50.0,50.0,0.0
MTR_000049_HASH,SP_000049_HASH,Whitefield,East Circle,FDR_005_HASH,DT_0095_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,LT2A_RESIDENTIAL,246.93835,254.37975,253.27402,-2.565686,0.434676,0.0,0.0,0.364954,0.959777,0.891991,2,251.06,5.0,1,0.0,0,FAMILY,Whitefield|RESIDENTIAL|2BHK_SMALL_FAMILY,90.0,80.0,10.0
MTR_000050_HASH,SP_000050_HASH,Banashankari,South Circle,FDR_010_HASH,DT_0010_HASH,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,LT2A_RESIDENTIAL,8.9342,9.02223,8.9768,-0.476816,0.503536,0.0,0.0,0.465679,0.95999,0.888456,4,19.95,1.0,1,0.0,0,SENIOR_CITIZEN,Banashankari|RESIDENTIAL|1BHK_SINGLE_OR_COUPLE,25.0,25.0,0.0
MTR_000051_HASH,SP_000051_HASH,Domlur,East Circle,FDR_014_HASH,DT_0059_HASH,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,LT2A_RESIDENTIAL,142.57944,128.19101,129.5712,9.123503,-1.076665,0.0,0.0,0.401633,0.959742,0.890556,2,147.24,2.0,1,0.0,0,FAMILY,Domlur|RESIDENTIAL|1BHK_SINGLE_OR_COUPLE,100.0,100.0,0.0
MTR_000052_HASH,SP_000052_HASH,Koramangala,South Circle,FDR_004_HASH,DT_0079_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,LT2A_RESIDENTIAL,203.54089,178.64185,163.96381,19.444293,8.216462,0.0,0.0,0.402648,0.960015,0.893069,2,210.21,5.0,1,0.0,0,FAMILY,Koramangala|RESIDENTIAL|2BHK_SMALL_FAMILY,60.0,40.0,20.0
MTR_000053_HASH,SP_000053_HASH,Indiranagar,East Circle,FDR_013_HASH,DT_0013_HASH,COMMERCIAL,SUPERMARKET_MINI_MART,LT3_COMMERCIAL,638.14954,667.83728,674.70264,-5.727984,-1.027998,0.0,0.0,0.387518,0.910107,0.835469,2,573.78,8.0,0,0.0,0,VACANT,Indiranagar|COMMERCIAL|SUPERMARKET_MINI_MART,100.0,100.0,0.0
MTR_000054_HASH,SP_000054_HASH,Whitefield,East Circle,FDR_005_HASH,DT_0095_HASH,COMMERCIAL,SMALL_OFFICE,LT3_COMMERCIAL,447.38025,483.22595,491.9129,-9.954095,-1.7977,0.416667,0.0,0.120124,0.909586,0.841169,2,479.41,5.0,0,0.0,0,SENIOR_CITIZEN,Whitefield|COMMERCIAL|SMALL_OFFICE,100.0,100.0,0.0
MTR_000055_HASH,SP_000055_HASH,Banashankari,South Circle,FDR_010_HASH,DT_0115_HASH,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,LT2A_RESIDENTIAL,123.00812,124.24133,123.80434,-0.64729,0.351732,0.0,0.0,0.464537,0.959759,0.887817,2,123.56,2.0,1,0.0,0,SENIOR_CITIZEN,Banashankari|RESIDENTIAL|1BHK_SINGLE_OR_COUPLE,75.0,100.0,-25.0
MTR_000056_HASH,SP_000056_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0102_HASH,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,LT2A_RESIDENTIAL,98.81404,100.24738,99.93047,-1.129824,0.316135,0.0,0.104167,0.465146,0.959729,0.886874,2,99.6,3.0,1,0.0,0,FAMILY,KR Puram|RESIDENTIAL|1BHK_SINGLE_OR_COUPLE,83.33333333333334,100.0,-16.666666666666657
MTR_000057_HASH,SP_000057_HASH,Banashankari,South Circle,FDR_010_HASH,DT_0040_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,LT2A_RESIDENTIAL,27.29423,27.52859,27.38983,-0.350237,0.504063,0.0,0.069444,0.370365,0.95987,0.888064,2,27.39,5.0,0,0.0,0,VACANT,Banashankari|RESIDENTIAL|2BHK_SMALL_FAMILY,12.5,12.5,0.0
MTR_000058_HASH,SP_000058_HASH,Whitefield,East Circle,FDR_005_HASH,DT_0080_HASH,RESIDENTIAL,3BHK_FAMILY,LT2A_RESIDENTIAL,331.81848,350.95239,352.6814,-6.287448,-0.492661,0.0,0.138889,0.34685,0.96008,0.886404,2,344.4,5.0,0,0.0,0,FAMILY,Whitefield|RESIDENTIAL|3BHK_FAMILY,50.0,100.0,-50.0
MTR_000059_HASH,SP_000059_HASH,Indiranagar,East Circle,FDR_001_HASH,DT_0046_HASH,RESIDENTIAL,3BHK_FAMILY,LT2A_RESIDENTIAL,261.97845,268.23053,265.90775,-1.499853,0.865966,0.0,0.069444,0.72847,0.959893,0.897903,2,304.68,5.0,0,3.0,0,FAMILY,Indiranagar|RESIDENTIAL|3BHK_FAMILY,71.42857142857143,71.42857142857143,0.0
MTR_000060_HASH,SP_000060_HASH,Rajajinagar,West Circle,FDR_011_HASH,DT_0116_HASH,COMMERCIAL,KIRANA_RETAIL_SHOP,LT3_COMMERCIAL,260.10464,159.7457,105.46216,59.45395,33.981221,0.0,0.104167,0.148156,0.91026,0.839411,2,256.31,8.0,0,0.0,0,VACANT,Rajajinagar|COMMERCIAL|KIRANA_RETAIL_SHOP,50.0,50.0,0.0
MTR_000061_HASH,SP_000061_HASH,Domlur,East Circle,FDR_014_HASH,DT_0029_HASH,COMMERCIAL,SMALL_OFFICE,LT3_COMMERCIAL,247.8795,258.55524,265.97876,-7.301636,-2.871156,0.0,0.0,0.120047,0.909884,0.831769,3,258.48,3.0,0,0.0,0,FAMILY,Domlur|COMMERCIAL|SMALL_OFFICE,33.33333333333333,50.0,-16.66666666666667
MTR_000062_HASH,SP_000062_HASH,Hebbal,North Circle,FDR_008_HASH,DT_0038_HASH,COMMERCIAL,BAKERY,LT3_COMMERCIAL,482.63361,506.55396,500.34668,-3.670087,1.225393,0.0,0.15625,0.244097,0.909832,0.84005,2,499.13,3.0,0,0.0,0,MIXED_USE,Hebbal|COMMERCIAL|BAKERY,100.0,100.0,0.0
MTR_000063_HASH,SP_000063_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0012_HASH,COMMERCIAL,RESTAURANT_CAFE,LT3_COMMERCIAL,819.16534,443.35797,236.77179,71.095971,46.595797,0.0,0.0,0.133383,0.910028,0.83887,36,806.68,8.0,0,0.0,0,WORKING_COUPLE,KR Puram|COMMERCIAL|RESTAURANT_CAFE,100.0,50.0,50.0
